,SPEAKER,Text
31,SPEAKER_00," JRTC is, the short term definition of JRTC is Junior Officer Training Corps. I suppose it would make you ready to go into the military because that's what I wanted. I wanted to seek a military career in the K9 unit, after that K9 unit, then Army Ranger School. So I was trying to learn everything I can about the military. So the first step was to go into JRTC, take the class on marksmanship because I wanted to experience that just to get an idea of what it's like. And I learned a lot."
32,SPEAKER_01, Okay.
33,SPEAKER_02, Uh-huh.
34,SPEAKER_01," Okay, tell me what you learned about Martinship."
35,SPEAKER_00, I learned how to shoot a gun. I learned how to zero in a rifle.
36,SPEAKER_01, What does zero gonna rifle mean? I don't know what that means.
37,SPEAKER_00," It means to shoot dead center or shoot on impact Where you want to shoot your target like see that bottle? Yeah, if you want to shoot the top of that it's supposed to zero in so you keep shooting until you're able to Get the cap off or something"
38,SPEAKER_02, Yeah.
39,SPEAKER_01," Okay, what type of training gun or whatever did they use?"
40,SPEAKER_00, or whatever did they we didn't do any anything that you see on tv no no uh what we did was so we sat on a platform like a little like green thing
41,SPEAKER_01, No.
42,SPEAKER_00, And then we set up a rifle so we found these like little things around our arms and we had some sort of
43,SPEAKER_02, Hey.
44,SPEAKER_00, air peloton which I think function on co2 gas so we had cylinders in it so we pull back the thing and then supposed to put in the same thing as opposed to let's go and then look and it's supposed to hit the target about 10 meters so we set up these like targets to meters and there's what it prone kneeling and then standing
45,SPEAKER_02, So we had a...
46,SPEAKER_01, Okay.
47,SPEAKER_00, Three different positions you have to learn.
48,SPEAKER_01, Three different positions you have to learn? Three positions? Yeah. And how did they determine if you were good or not?
49,SPEAKER_00, with a particular...
50,SPEAKER_00, You have to shoot a target at 10 meters the size of a diamond recorder. Okay. It actually decreased in size over the years. I don't know if it's... I heard it's a penny now.
51,SPEAKER_01, Okay.
52,SPEAKER_01," Okay, so overall how did you do as a mark in that class or in that JROTC? Well I was in the top"
53,SPEAKER_00," Were you a good shot? I was in the top one. I was probably the fourth to, no the third or fourth one from being top in the class. The females are a lot better at shooting than men."
54,SPEAKER_01, The females...
55,SPEAKER_01, And that's because...
56,SPEAKER_00, They're just back shooters. Even the Marines did their own study on that. It's true.
57,SPEAKER_01, Okay.
58,SPEAKER_01," Okay, and so anything else you learned in that class?"
59,SPEAKER_00, Any other questions?
60,SPEAKER_00, I learned leadership skills.
61,SPEAKER_01, Give me some examples of some leadership skills.
62,SPEAKER_00," Whenever someone's in need, you're supposed to go up to them and make sure they're alright. If someone were to challenge you in a fight, you're supposed to walk away from it."
63,SPEAKER_00, uh here um
64,SPEAKER_00, Marching and someone falls down you're supposed to help them up and if someone's having issues with some sort of class you're supposed to help them out So tell me
65,SPEAKER_01, I'll just stick up for a minute.
66,SPEAKER_01, So tell me about that. You mentioned that earlier this morning.
67,SPEAKER_00," So in order to go into the military and get a good job in the military, you have to score high on the ASVAB first."
68,SPEAKER_01, Thank you.
69,SPEAKER_00," Yes, that was a crazy test."
70,SPEAKER_01," Tell me about some of the questions and what it was like, best you remember."
71,SPEAKER_00," Here, I can write down something."
72,SPEAKER_01," Okay, let me take out this piece of paper. I've never taken a photo."
73,SPEAKER_00, It's crazy tough.
74,SPEAKER_01, Give me some examples.
75,SPEAKER_02, How you doing?
76,SPEAKER_00, I'll try to come up with a question I could...
77,SPEAKER_02, I see.
78,SPEAKER_02, Thank you.
79,SPEAKER_02, Thank you.
80,SPEAKER_02, Thanks for watching!
81,SPEAKER_02, Thank you.
82,SPEAKER_02, Thank you.
83,SPEAKER_00," Someone like that, I have really tough questions."
84,SPEAKER_01, Talk really tough.
85,SPEAKER_01, Let me see what you wrote here.
86,SPEAKER_00, Those are just small examples. It gets really really complicated and tough.
87,SPEAKER_01, So what is an H2O molecule? What's this right here?
88,SPEAKER_00, What is H2O molecule of water?
89,SPEAKER_01, of water. And what would your answer be to something like that?
90,SPEAKER_00," Uh, hydrogen?"
91,SPEAKER_01," Okay, and then what does this say?"
92,SPEAKER_00, who was just being during the French Revolution.
93,SPEAKER_01, And what's the answer to that?
94,SPEAKER_00, it was Napoleon's XY.
95,SPEAKER_01, And then this last one.
96,SPEAKER_00," Wasn't on this last one? Oh, it was the square root of 256."
97,SPEAKER_01," and what's an answer to that? I don't know. Okay. But would these be questions, are these exact questions from that test or just similar to what?"
98,SPEAKER_00, Those are simple questions. I can't put like okay. Give you it gets really
99,SPEAKER_01, It gets really complicated.
100,SPEAKER_00," Oh yeah, I did take psychology. I actually scored pretty well."
101,SPEAKER_00, Can I pass the test too? Okay.
102,SPEAKER_01, Yeah.
103,SPEAKER_01, And that was at the Dave Thomas campus? OCLC. OCLC. Yep. And so OCLC.
104,SPEAKER_00, I'll see I'll see
105,SPEAKER_00, of OCLs.
106,SPEAKER_01," Okay, what kind of things do they teach in the psychology class?"
107,SPEAKER_00," Well, they didn't teach anything. It was just basically they were... We were just doing things on computer."
108,SPEAKER_01," Yeah, what kind of topics on the computer were there?"
109,SPEAKER_00, people with mental health.
110,SPEAKER_00, past tests such as the one where they practiced this test on prisoners and guards so basically what happened was there was this test back in the 80s or 60s and they had a bunch of
111,SPEAKER_01, We'll be right back.
112,SPEAKER_02, Uh-huh.
113,SPEAKER_00, Bunch of inmates become security guards and security guards become the inmates.
114,SPEAKER_00," And it turned out well, actually, security guards turned against inmates and treated them horribly, which came up with a theory that if you put someone in a situation and under certain circumstances, they'll abuse that power."
115,SPEAKER_01," Yeah, it's a famous study actually. And any time where someone might have thought you were carving like a swash stick on a table or something like that."
116,SPEAKER_00, My friends told me to do that and they did it as well and I did that for attention and anything that I threw swastika or said nasty remarks about the race or gender equality or anything like that. It was all for attention. Okay.
117,SPEAKER_01, And I did that.
118,SPEAKER_02, I did that.
119,SPEAKER_02, anything like that. It was all for attention. Okay.
120,SPEAKER_00," in that magazine, I'm sure you know about it. I had a magazine with a swastika on it. Uh huh. For my AR. I didn't write that at all."
121,SPEAKER_01, Uh-huh.
122,SPEAKER_01, I didn't f-
123,SPEAKER_01, Where'd that come from?
124,SPEAKER_00," Jameson Tatum asked me if he wanted to cross Waska on it, and so I said sure."
125,SPEAKER_01," Okay, so he drew the plastic on the magazine?"
126,SPEAKER_00, I didn't think any of it.
127,SPEAKER_00," We were just chilling out. He said, it's cool if I cross, cross climbing magnets. I said, sure."
128,SPEAKER_01, Was that magazine used on the day of the offense? Yeah. OK.
129,SPEAKER_00, you
130,SPEAKER_01, Was it left there at the scene? At least not yet. Okay.
131,SPEAKER_00, I'll at least tell you.
132,SPEAKER_00," And then I had them and then someone told me I had a swastika on my boot. I did do that, but that was for attention."
133,SPEAKER_01, I did do that.
134,SPEAKER_01, OK. Where did you put the splash stick on the boot?
135,SPEAKER_00," Probably a month before, half a month before."
136,SPEAKER_01, And what kind of attention can you get from having a spa stick at one of you?
137,SPEAKER_00, Negative or positive can be used in either way because the swastika was used in Native American as a PC in both.
138,SPEAKER_01, I know.
139,SPEAKER_00," And then when the Germans saw, I guess they took it up themselves and they made it into a symbolic symbol."
140,SPEAKER_00, Which was really stupid because it was a Native American peace symbol.
141,SPEAKER_01," But when you put on your shoe for attention, which of those two was it most likely to kind of connect to or represent?"
142,SPEAKER_00, More sleepies?
143,SPEAKER_01, Okay.
144,SPEAKER_01, Any other Counselants that you can remember you talk about Jared any other
145,SPEAKER_00," Yeah, there was like a woman that wanted to begin to chest. And she also wanted to try to punch a pill, see if that would relieve any stress. There was also..."
146,SPEAKER_01, And did you end up playing chess?
147,SPEAKER_00, No. Yeah? Or can you play chess? It was in my interest. I didn't even play it right. I've only learned that I was playing the wrongs throughout my years.
148,SPEAKER_01," Yeah, are you candy punch?"
149,SPEAKER_01," Okay, and can you play chess now?"
150,SPEAKER_00, Not very good at it.
151,SPEAKER_01, Tell me what you remember about some of the different names of the chess pieces.
152,SPEAKER_00," Oh, we got the rook, we got the king, the queen, the knights."
153,SPEAKER_00, Or the other one. Uh...
154,SPEAKER_00, I forgot we were...
155,SPEAKER_00,
156,SPEAKER_01," Bishop. Okay. And the pawns. Okay. That's, that sounds like all I want. And"
157,SPEAKER_01," Can they move in different ways? Yeah, they move in different ways. Okay."
158,SPEAKER_00," Yeah, they move in different ways. Okay. The knight goes in like an elf form. Okay. The king goes pretty much anywhere but only one spot at a time. The queen can go anywhere on the chessboard. I think the bishop goes sideways and then the rooks just go up or left and right. Okay. I think that's about it."
159,SPEAKER_01, Okay.
160,SPEAKER_01, Okay. I think that's about it. Do they allow you to play chess in here at all? Yeah. And who do you get to play chess with?
161,SPEAKER_00, Okay.
162,SPEAKER_00, Uh... my uh... my psych doctor.
163,SPEAKER_01, Okay.
164,SPEAKER_01," And are you able to, how do you do? Terrible. Terrible."
165,SPEAKER_00, I think he's cheating someone.
166,SPEAKER_01, How do you mean? Huh? He always uses his queen. He always uses his queen?
167,SPEAKER_00, Huh?
168,SPEAKER_00, He always uses his queen.
169,SPEAKER_00," Yeah, he always uses his phone."
170,SPEAKER_01, What does that mean? I don't play chess so...
171,SPEAKER_00," So the queen is probably the most powerful piece on the board, so I use that a lot and he always gets me with it. And then we play Uno."
172,SPEAKER_00, And I usually crack a joke all the time. It's pretty fun.
173,SPEAKER_01, Okay.
174,SPEAKER_01," And which doctor is this? What's his name? Uh, Dr. K."
175,SPEAKER_02,
176,SPEAKER_01," How do you spell last name? K, you said?"
177,SPEAKER_00, uh... cases yet on dark and i don't have to announce is for me to see if you talk
178,SPEAKER_01, I've seen a treatment doctor here? Yeah. Okay.
179,SPEAKER_02, I'm taking the doctor here.
180,SPEAKER_01," And so you shared with me that you had this thought about shooting up the school. For a very long time. When did it first, and we talked about this earlier this morning, but when did the idea first pop in your mind or you first thought about it? 14, 13. Age 13 or 14? Yeah. And what was it at age 13 or 14 again that this thought came up? Was it when you were reading the books that we were talking about? Yeah, I was reading the books."
181,SPEAKER_02, I've had that burger a long time.
182,SPEAKER_00, for a very long time.
183,SPEAKER_00, for
184,SPEAKER_00, You were reading the books that we were talking about?
185,SPEAKER_01, and uh...
186,SPEAKER_01, Did it ever go away or did it kind of come and go? Come and go.
187,SPEAKER_00," Come and go, it will pop up in my mind one time and just disappear for the next."
188,SPEAKER_01, What seemed to make it calm and what seemed to make it good?
189,SPEAKER_00, when I saw a lot of violent videos on YouTube.
190,SPEAKER_01," Okay, what kind of violent videos did you see?"
191,SPEAKER_00, War videos.
192,SPEAKER_01," And did that make it more go up and more go down? Yeah, it did go up. OK."
193,SPEAKER_00, We're gonna blow up.
194,SPEAKER_00, And then I watched documentaries.
195,SPEAKER_01, What kind of documentaries?
196,SPEAKER_00," I think it was 42 hours or something. There was another one, same thing, but with Virgin Tintec."
197,SPEAKER_01, Uh-huh.
198,SPEAKER_01, with Virginia Tech.
199,SPEAKER_00, There was one on Elliot Rogers.
200,SPEAKER_01, Do you remember if you ever kind of searched out on the internet ways to do a school shooting?
201,SPEAKER_01, Yes.
202,SPEAKER_00, Yes.
203,SPEAKER_00, I did my own research.
204,SPEAKER_01, Tell me what research you did.
205,SPEAKER_00," I looked up on Wikipedia, I studied mass murderers and how they did it. Uh huh. Like their plans and what they got and what they used."
206,SPEAKER_01, Uh-huh.
207,SPEAKER_01, And what did you learn from that kind of study?
208,SPEAKER_00," I learned that the Columbine shooters, they had three guns that they used. They used a Hype .9995, regular. They used a double-barrel shotgun, cut-down pistol grip. They used another shotgun, and they used a Tech 9. I learned that from there. I learned a Virginia Tech shooter. He had a tactical vest, and he had two pistols, Glock 9s, I think. I can't remember what brand, but he went to the gun range, and he sighted them in."
209,SPEAKER_01, Virginia Tech shooter.
210,SPEAKER_02,
211,SPEAKER_02, Thank you.
212,SPEAKER_01, Okay. And I...
213,SPEAKER_00," And I learned about Aurora L'Orealis. A guy uses Smith & Wesson P1542. And how I know he used it, he doesn't even say on Wikipedia, but it actually shows the brand on a police document."
214,SPEAKER_01," Okay, so you could figure it you figured that out what he used and when he said Aurora Borealis movie theater shooting Colorado yeah"
215,SPEAKER_00, said Aurora Borealis? A movie theater shooting in Colorado.
216,SPEAKER_02,
217,SPEAKER_01, Okay. Cancel almost. Yeah.
218,SPEAKER_00, Can't hold it.
219,SPEAKER_01," Alright, and were there any lessons you learned? I mean, those are sort of the facts that they did. Did you learn anything from reading those facts?"
220,SPEAKER_00," They washed the corners, they kept the distance away from people."
221,SPEAKER_00, and they went in as fast as possible.
222,SPEAKER_01, Okay.
223,SPEAKER_00, and the police didn't do anything.
224,SPEAKER_01, And what did all that mean to you as far as what you're thinking about it?
225,SPEAKER_00," My thinking is if I do go on school campus, the police are not going to do anything and I have a small opportunity to shoot people for maybe 20 minutes."
226,SPEAKER_01, So I'm talking about the days leading up to the school shooting you talked you were talking
227,SPEAKER_00," Yeah, I already had the magazines, I had all the ammunition. It was just there. So it was already there. It was already there, I just didn't have anything to do with it."
228,SPEAKER_01, I was just there. So it was already there. It was already there.
229,SPEAKER_01," So nothing special, you had to go out and buy it a couple days beforehand? Yeah."
230,SPEAKER_00, It's just the ammunition that I didn't have.
231,SPEAKER_01," Okay, and so one thing is you got you had this vest and you put the ammo in. What else did you do?"
232,SPEAKER_00," I put the gun in one of the safety bags, gun bags."
233,SPEAKER_01, Tell me what a safety bag looks like.
234,SPEAKER_00, It kind of looks like that right there.
235,SPEAKER_01, Okay.
236,SPEAKER_00, See that red one?
237,SPEAKER_01, Where did you put the gun? In the safety bag.
238,SPEAKER_00," the night prior, right after I practice a little bit, side and end."
239,SPEAKER_01, Right.
240,SPEAKER_01," Yeah, and where'd you go?"
241,SPEAKER_01, institute.
242,SPEAKER_00, back here like trying to imagine the recoil
243,SPEAKER_01," That's right, that was at the sneeze house. They had a place outside you could do that. And you said you were figuring out the recall? Yeah. Recall. Recoil. Recoil."
244,SPEAKER_00,
245,SPEAKER_00, Yeah.
246,SPEAKER_01," And so the night before the gun went into the bag, and did anything else go into that bag? It was like a gun bag. What else?"
247,SPEAKER_00, That's it. That's it. Just the gun. And whatever was on the gun.
248,SPEAKER_01, That's it. Just the gun.
249,SPEAKER_01, and what was on the gun.
250,SPEAKER_00, and what was...
251,SPEAKER_00, Um...
252,SPEAKER_00," A grip, tactical grip."
253,SPEAKER_01, What's that?
254,SPEAKER_00, It's like
255,SPEAKER_00, I can draw.
256,SPEAKER_00," Okay, and then give me the pen again. I'm going to show you off. The phone is set."
257,SPEAKER_01, Yeah.
258,SPEAKER_01, breakfast
259,SPEAKER_00," So I had a rail system on it, so kind of different. And you can put a tactical grip on it, it's just a grip. So you basically screw it into the gun."
260,SPEAKER_01, What's the point of having... To keep it steady. Okay.
261,SPEAKER_00, Please give it to Daddy.
262,SPEAKER_00, And then same thing with the bipod. Bipod kind of looks like that a little bit.
263,SPEAKER_01," Alright, but you don't... You didn't use a bipod, did you?"
264,SPEAKER_00, That was already on the map.
265,SPEAKER_01, Thanks for having me on.
266,SPEAKER_01," Okay, and so..."
267,SPEAKER_00, anything yeah that's about it that was all yeah oh and
268,SPEAKER_01, Oh and um...
269,SPEAKER_00, How was it?
270,SPEAKER_00, The sling.
271,SPEAKER_01, Thank you for watching!
272,SPEAKER_01, So what's the you can't do that back was the tactical grip already on the gun? Or did you put it on the night before I was already on there for a while and the sling was on there. Yeah
273,SPEAKER_00, That was a re-enter for a while.
274,SPEAKER_00, This link was on there as well. I just recently put on the back side.
275,SPEAKER_01," Okay, and so when you had this, the bipod was actually on the gum when you put it into the gum bag? Yeah. Okay, and so that's the night before, about what time of night are we talking about?"
276,SPEAKER_00, Yeah.
277,SPEAKER_00," Well, early morning, really."
278,SPEAKER_01," Yeah, it might have even... I didn't get any sleep. Okay, so this is on February the 14th, early morning."
279,SPEAKER_00, I didn't get any sleep.
280,SPEAKER_00, Eight or nine.
281,SPEAKER_01, 8 or 9 in the morning.
282,SPEAKER_00," Not eight or nine, not all of us. Not all of us."
283,SPEAKER_00," 5, 5.30? 5.30? And I sighted in at around 12 o'clock in the night."
284,SPEAKER_02," Bye, sorry."
285,SPEAKER_01," the night before like on the 13th or like midnight maybe? Yeah. Tell me what sight it in means again. Sighting in? Yes, sighting in. What does that mean?"
286,SPEAKER_00, midnight
287,SPEAKER_00," Sighting in? Yes, sighting in. What does that mean? To get the bullet on target where you want to shoot at."
288,SPEAKER_01, Okay.
289,SPEAKER_00, I have to look at the rear front side and put the laser on top.
290,SPEAKER_01," How long does it take to do that? Can I try? Sure. Just don't try to understand. Yeah, I'm trying to make you understand. Yeah, you're welcome."
291,SPEAKER_00, you
292,SPEAKER_02, Just to kind of...
293,SPEAKER_00," I'm trying to understand. Yeah, I'm trying to make you understand."
294,SPEAKER_00," So there's like this, this is the front side. This is what it looks like on the air."
295,SPEAKER_01, This is a front set.
296,SPEAKER_00," So this is the rear side, the circle thing, and this is the front side."
297,SPEAKER_02, So this is a rear side.
298,SPEAKER_01, circle thing.
299,SPEAKER_01,
300,SPEAKER_00, and you want to put the laser just a little bit right above it. That's your point of aim. And so this is what it kind of looks like when you're shooting a target.
301,SPEAKER_00, I like that.
302,SPEAKER_01," How does that laser, how does the sight, how does that help you in your shooting?"
303,SPEAKER_00," So when it's in the gun, it's stabilized."
304,SPEAKER_01, Okay.
305,SPEAKER_00, So wherever the right that goes is your point of aim. Because that's where the bullet's going to come out. Okay. Out of the gun. And that's how you sight it in.
306,SPEAKER_01, Okay.
307,SPEAKER_01, Does it help in any way with the shooting?
308,SPEAKER_00," Yeah, so right after you take it out put a bullet and they actually fire see if actually shoots on how were you just Sight in to target with red Davas. Uh-huh"
309,SPEAKER_02," Yeah, so right after you take it out, put it below."
310,SPEAKER_02, Uh-huh.
311,SPEAKER_01, Okay.
312,SPEAKER_00,
313,SPEAKER_01, All right.
314,SPEAKER_01, So that was the sighting. How long does it take you to do the sighting the night before? You told me earlier.
315,SPEAKER_00, I think it was about 30 minutes. About 30 minutes.
316,SPEAKER_01," About 30 minutes? 30 minutes to an hour? Okay. The night before they're out, you're at the Sneads, you're in the their backyard for 30 minutes to an hour with the AR-15. You come back, what are you even wearing the night before? Do you remember what you were wearing the night before?"
317,SPEAKER_00, My JRC polo shirt and cabbie pants.
318,SPEAKER_01, Now why are you wearing your JRTC polo shirt?
319,SPEAKER_00," To disguise myself if I do go in. Okay. Because if I had all that beer on there, they would have called the cops and held me in that."
320,SPEAKER_01, Okay.
321,SPEAKER_01, and then you're wearing khakis. And were you wearing the same thing the night before as you were wearing the day off? Or did you change clothes? I changed clothes.
322,SPEAKER_00, Yeah.
323,SPEAKER_00," I changed clothes. I was wearing, before the shooting, I was wearing a sweater."
324,SPEAKER_00," My camouflage shirt. My beanie. This is the night before? Yeah, like I told you, I used to cover myself. Yeah, you did. Yeah."
325,SPEAKER_01, This is the night before. Yeah like I told you.
326,SPEAKER_01," Yeah, we did. So when did you put on the JRTC polo shirt?"
327,SPEAKER_00, Probably around 12 o'clock in the night after I sighted my rifle.
328,SPEAKER_01," Okay. And again, you put on that shirt because..."
329,SPEAKER_00," Uh, to disguise myself so I don't draw attention."
330,SPEAKER_01," Is it, I mean you hadn't been there in a year or so, but is that kind of the same shirt they have for the most part you think?"
331,SPEAKER_00, Almost every kid in GRC had that shirt.
332,SPEAKER_01," Okay, where'd you sit in the car? The back seat? Yeah, back seat. Okay, and..."
333,SPEAKER_00, Yeah.
334,SPEAKER_00, I told her that I had a musical instrument. I was in the orchestra.
335,SPEAKER_01, Okay. And how come you did that?
336,SPEAKER_00," uh, to so I can get away with uh, taking my guns in the car and going to school."
337,SPEAKER_01, And what did she say to that?
338,SPEAKER_00," Uh, she said okay."
339,SPEAKER_01," Once you get to school, what's your next step?"
340,SPEAKER_00," Walk through the gates. Hopefully there's no security guards, which I was wrong."
341,SPEAKER_01, So what would I have been at that school? So are there lots of gates or how do you get it? How do you get to it?
342,SPEAKER_00," Uh, 3-8. Okay, and so where do you..."
343,SPEAKER_01," Okay, and so where did they drop you off? The front gate. The table? The front gate. And so is your backpack, like sometimes you can wear a backpack like slop on your shoulder or something? Yeah, it was in front. I think I was wearing it in the front. Okay. Yes. Yeah. And then what were you doing with the gun safe bag? I was wearing a bag of gun safe bags. I was wearing a bag of gun safe bags."
344,SPEAKER_00, from gay
345,SPEAKER_00," Yeah, I was in front. I think I was working in front."
346,SPEAKER_00, I was walking.
347,SPEAKER_01, Okay. And you're...
348,SPEAKER_00, I think south of Humber Road.
349,SPEAKER_01," Okay, you're walking with it and you have the backpack kind of on one side. And then what happened?"
350,SPEAKER_00, I went through the gates. I looked at the guy who was watching me.
351,SPEAKER_01," Oh, there was a guy watching you? Yeah. Was it that, was it that? Yeah, I saw him right there."
352,SPEAKER_00," Was it that? Yeah, I saw him radioing and I said, oh shit, I'm screwed. So I just ran into the building and I told the kids to get out of here. I don't remember what I exactly said, but I said something."
353,SPEAKER_02,
354,SPEAKER_01," Was the guy that you saw radioing and you said, oh shit, I'm screwed. Remember we were talking about some other security guy? Was that same guy? No. No, totally different one?"
355,SPEAKER_00, You
356,SPEAKER_01, And so what did you think when you saw him talking on the radio? What do you think that was about?
357,SPEAKER_00," I thought he was going to, I think he called Scott Pearson."
358,SPEAKER_01, Okay. And what would that mean if he did?
359,SPEAKER_00, Scott's pierre was coming.
360,SPEAKER_01," Okay, and what would that mean for your plan that day?"
361,SPEAKER_00," Uh, to uh..."
362,SPEAKER_00, Shoot.
363,SPEAKER_01," Um, so how did you get to McDonald's?"
364,SPEAKER_00, A lot.
365,SPEAKER_01, There's a long ways from the Walmart. But how long do you think?
366,SPEAKER_00," So from the school to Walmart is about 400,000 yards."
367,SPEAKER_01, and then how far is it?
368,SPEAKER_00, an angle left down the road probably another 600 yards
369,SPEAKER_01, Uh-huh.
370,SPEAKER_01, 600 yards for the McDonald's and did you get anything to eat at the McDonald's?
371,SPEAKER_00, And did you get anything to eat at the McDonald's? I thought about it.
372,SPEAKER_01, And do you even know if you got anything? Are you hungry?
373,SPEAKER_01, the slushie probably wasn't enough. And what happened at the McDonald's?
374,SPEAKER_00," I talked to this kid, told me his sister was at Stonemdag still."
375,SPEAKER_01," Okay, and did you have any conversation about like did he ask you who are you or did he ask you anything about it?"
376,SPEAKER_00," Yeah, I asked him if I could have him left. I needed to go to work."
377,SPEAKER_00, or something like that. And he said he couldn't do it. He had a soccer game. This is true.
378,SPEAKER_00, And the sad story is his sister died in the building.
379,SPEAKER_02, Thanks for watching!
380,SPEAKER_01, It is.
381,SPEAKER_01," Do you know his first name? His friend. Now, you've taught me some different examples of things you've done to animals, different animals. When was the very first time you could remember ever doing something that people might look at and say, that's not very kind to an animal? How young were they?"
382,SPEAKER_00, or in this.
383,SPEAKER_00, How long have you been here? Focal Lister is back with a rock.
384,SPEAKER_01, and how old were you?
385,SPEAKER_00, Uh... Three.
386,SPEAKER_01," Okay, and how come you did, what do you remember about doing that?"
387,SPEAKER_00, Something me and my brother did. We went around killing losers.
388,SPEAKER_01, Okay.
389,SPEAKER_01, So tell me that's the good one.
390,SPEAKER_00," Sometimes they get them alive, sometimes they set them on fire. Okay, the lizards."
391,SPEAKER_01," Okay, the lizards. When did you start scanning the lizards alive?"
392,SPEAKER_00, I just taped him to the to the wall like
393,SPEAKER_00,
394,SPEAKER_01, How were we the first time you did that do you think?
395,SPEAKER_00, Thank you.
396,SPEAKER_00, 4 to go.
397,SPEAKER_01, Thanks for watching!
398,SPEAKER_01," Okay. And then, what about setting them on fire? How would you do that?"
399,SPEAKER_00, Take a lighter and burn it in slime.
400,SPEAKER_01, How would they react?
401,SPEAKER_00, Burn in sleep.
402,SPEAKER_01, Are they running slowly? Do they make any movement or sound or anything?
403,SPEAKER_00, They start curling up and then just fall over.
404,SPEAKER_01, Now go back to your nap formed p proofs
405,SPEAKER_01," So that's a 3, 4... Tell me what happened next. What's the next progression I got?"
406,SPEAKER_00, Um...
407,SPEAKER_00, Bird eggs.
408,SPEAKER_01, Bird eggs? What'd you do with bird eggs?
409,SPEAKER_00, I took him out of the nest and I threw him against the wall.
410,SPEAKER_01, How come?
411,SPEAKER_00, Because I was bored. I wouldn't let me out of the house.
412,SPEAKER_01," Okay, what did you think was going to happen to the egg if you did that?"
413,SPEAKER_00," Oh, crack."
414,SPEAKER_01," Okay, and how old are you without?"
415,SPEAKER_00," Uh, seven."
416,SPEAKER_01," Okay, and then what else? What happened next?"
417,SPEAKER_00," See, um..."
418,SPEAKER_00," Uh, let's see."
419,SPEAKER_00, I set spiders on fire.
420,SPEAKER_01," Okay, how old are you without?"
421,SPEAKER_00," Those banana spiders, you know those people ones. Are those really big? Yeah. Okay. I set them on fire with a flame fire. With a spray can."
422,SPEAKER_01, Are those really big? Yeah. Okay.
423,SPEAKER_01, What? With the spray can. A spray can.
424,SPEAKER_01, What kind of books are you reading now?
425,SPEAKER_00," I have a book of maps. I'm trying to figure out what's happening in Ukraine. They're attacking on 4th sides, they're Russians."
